Vehicle ID,Timestamp,Latitude,Longitude,Heading,Pattern ID,Route,Destination,Distance,Delay
8457,20240419 22:15,41.783555048162285,-87.61582946777344,177,18415,3,95th Red Line,45205,false
7977,20240419 22:29,41.736392054064524,-87.61451063484981,359,18414,3,Michigan/Chicago,8390,false
7973,20240419 22:29,41.833085000514984,-87.61691284179688,0,18414,3,Michigan/Chicago,43810,false
7963,20240419 22:29,41.84830985436073,-87.61737917386569,351,18414,3,Michigan/Chicago,49394,false
1206,20240419 22:30,41.877659896324424,-87.62418589098701,359,18414,3,Michigan/Chicago,61585,false
1205,20240419 22:30,41.888052347544075,-87.62445460139094,4,18414,3,Michigan/Chicago,65383,false
7920,20240419 22:29,41.896737003326415,-87.62215976715088,89,18414,3,Michigan/Chicago,69064,false
8458,20240419 22:29,41.89316439628601,-87.62429809570312,178,18415,3,95th Red Line,3799,false
1329,20240419 22:30,41.87887763977051,-87.62441825866699,183,18415,3,95th Red Line,9030,false
1297,20240419 22:30,41.860373403511794,-87.62398544012332,179,18415,3,95th Red Line,15798,false
8526,20240419 22:30,41.822339884440105,-87.61700439453125,177,18415,3,95th Red Line,31039,false
7971,20240419 22:29,41.81079717782828,-87.61668337308444,178,18415,3,95th Red Line,35253,false
1338,20240419 22:30,41.7949104309082,-87.61602020263672,179,18415,3,95th Red Line,41058,false
8405,20240419 22:30,41.74212175607681,-87.6147232055664,178,18415,3,95th Red Line,60352,false
8457,20240419 22:30,41.73063346987865,-87.61442153180232,178,18415,3,95th Red Line,64535,false
7969,20240419 22:44,41.72172546386719,-87.62142944335938,90,18414,3,Michigan/Chicago,1099,false
7977,20240419 22:44,41.78367634823448,-87.61569735878392,3,18414,3,Michigan/Chicago,25711,false
7973,20240419 22:45,41.86928676736766,-87.62402817298626,357,18414,3,Michigan/Chicago,58535,false
7963,20240419 22:44,41.882869720458984,-87.62420959472657,359,18414,3,Michigan/Chicago,63488,false
1206,20240419 22:44,41.89419496976412,-87.62003502478966,142,18414,3,Michigan/Chicago,70524,false
8458,20240419 22:44,41.86802224190004,-87.62419891357422,181,18415,3,95th Red Line,13007,false
1329,20240419 22:44,41.851783752441406,-87.61904907226562,170,18415,3,95th Red Line,20173,false
1297,20240419 22:45,41.81858132102273,-87.61688232421875,178,18415,3,95th Red Line,32409,false
8526,20240419 22:44,41.77256202697754,-87.61553192138672,176,18415,3,95th Red Line,49218,false
7971,20240419 22:44,41.7598747745637,-87.61519179805633,178,18415,3,95th Red Line,53861,false
1338,20240419 22:45,41.74755115196353,-87.61490631103516,178,18415,3,95th Red Line,58362,false
8457,20240419 22:44,41.72198438644409,-87.61489534378052,274,18415,3,95th Red Line,67923,true
7969,20240419 22:59,41.75514178805881,-87.61495632595486,359,18414,3,Michigan/Chicago,15243,false
7977,20240419 23:00,41.83709170213386,-87.61699209640275,358,18414,3,Michigan/Chicago,45284,false
7973,20240419 22:59,41.896753633939305,-87.62293149507963,90,18414,3,Michigan/Chicago,68854,false
1206,20240419 23:00,41.89377212524414,-87.61985778808594,179,18415,3,95th Red Line,0,false
7920,20240419 22:59,41.88553526907256,-87.62458570075758,177,18415,3,95th Red Line,6595,false
8458,20240419 22:59,41.82916002857442,-87.6171646118164,178,18415,3,95th Red Line,28548,false
1329,20240419 22:59,41.81136784409032,-87.61670684814453,179,18415,3,95th Red Line,35048,false
1297,20240419 22:56,41.77871837615967,-87.61566925048828,178,18415,3,95th Red Line,46975,false
8526,20240419 23:00,41.722112513300196,-87.6141586303711,178,18415,3,95th Red Line,67654,false
7971,20240419 22:59,41.71998977661133,-87.62055206298828,177,18415,3,95th Red Line,70129,false
8405,20240419 23:14,41.75146509389408,-87.61486628798188,350,18414,3,Michigan/Chicago,13898,false
7969,20240419 23:15,41.79866720705616,-87.61602020263672,358,18414,3,Michigan/Chicago,31215,false
7977,20240419 23:14,41.87747493543123,-87.62418365478516,358,18414,3,Michigan/Chicago,61518,false
7973,20240419 23:14,41.89377212524414,-87.61985778808594,176,18415,3,95th Red Line,0,false
7963,20240419 23:14,41.896549224853516,-87.62435150146484,196,18415,3,95th Red Line,2565,false
1206,20240419 23:14,41.88075485229492,-87.62445831298828,178,18415,3,95th Red Line,8341,false
7920,20240419 23:14,41.859853224320844,-87.62397252863104,176,18415,3,95th Red Line,15989,false
8458,20240419 23:15,41.769308253696984,-87.6154292515346,178,18415,3,95th Red Line,50421,false
1329,20240419 23:14,41.75985582413212,-87.6151883525233,178,18415,3,95th Red Line,53868,false
1297,20240419 23:14,41.714839437733524,-87.62058656112008,201,18415,3,95th Red Line,72035,false
8405,20240419 23:29,41.80199966430664,-87.61603324196555,7,18414,3,Michigan/Chicago,32428,false
